id;opath;cpath;mgeom
4057011;109497;109497;LINESTRING(11.7141252486 48.1384201832,11.7141252486 48.1384201832)
10109005;46949;46949;LINESTRING(11.502627807 48.1644340317,11.502627807 48.1644340317)
10477012;119877;119877;LINESTRING(11.5347237949 48.1238920479,11.5347237949 48.1238920479)
10290005;129797;129797;LINESTRING(11.5915684346 48.114972868,11.5915684346 48.114972868)
10190006;85475;85475;LINESTRING(11.5756334697 48.1602870534,11.5756334697 48.1602870534)
10073003;158390;158390;LINESTRING(11.5655373777 48.1484669555,11.5655373777 48.1484669555)
10332002;129738;129738;LINESTRING(11.5639243413 48.2042150058,11.5639243413 48.2042150058)
10182008;55335;55335;LINESTRING(11.6147994887 48.1377362346,11.6147994887 48.1377362346)
10580007;70785;70785;LINESTRING(11.5578941347 48.1759634539,11.5578941347 48.1759634539)
10114007;114868;114868;LINESTRING(11.6032396346 48.1277735688,11.6032396346 48.1277735688)
10132003;77510;77510;LINESTRING(11.5964476855 48.123714652,11.5964476855 48.123714652)
10547006;82455;82455;LINESTRING(11.5357923137 48.1458367315,11.5357923137 48.1458367315)
10165014;65439;65439;LINESTRING(11.6129705678 48.1205027296,11.6129705678 48.1205027296)
10060007;103131;103131;LINESTRING(11.5755554847 48.119777377,11.5755554847 48.119777377)
10468005;19133;19133;LINESTRING(11.5311987525 48.1568792497,11.5311987525 48.1568792497)
10109006;812;812;LINESTRING(11.5026453996 48.1644955065,11.5026453996 48.1644955065)
4031014;110699;110699;LINESTRING(11.6163262453 48.1334362074,11.6163262453 48.1334362074)
10877002;66372;66372;LINESTRING(11.5648947937 48.1718174078,11.5648947937 48.1718174078)
10691009;7271;7271;LINESTRING(11.5536717301 48.1836836224,11.5536717301 48.1836836224)
10015009;117386;117386;LINESTRING(11.5990149468 48.1255150117,11.5990149468 48.1255150117)
10095009;120277;120277;LINESTRING(11.5662612959 48.1867356928,11.5662612959 48.1867356928)
10373017;70555;70555;LINESTRING(11.5847149114 48.1845455105,11.5847149114 48.1845455105)
10520006;44178;44178;LINESTRING(11.5091903722 48.0980382086,11.5091903722 48.0980382086)
10029007;129184;129184;LINESTRING(11.5640382639 48.1373935904,11.5640382639 48.1373935904)
10262001;108098;108098;LINESTRING(11.5511096856 48.1859753974,11.5511096856 48.1859753974)
10176006;128490;128490;LINESTRING(11.4235056549 48.1428074821,11.4235056549 48.1428074821)
11017004;21416;21416;LINESTRING(11.627277945 48.1418903811,11.627277945 48.1418903811)
10056002;75424;75424;LINESTRING(11.5767879223 48.1281396853,11.5767879223 48.1281396853)
10142003;8367;8367;LINESTRING(11.675498885 48.08517889,11.675498885 48.08517889)
10290008;139127;139127;LINESTRING(11.5932908314 48.1150057496,11.5932908314 48.1150057496)
10165015;65439;65439;LINESTRING(11.6129704552 48.1205024073,11.6129704552 48.1205024073)
10477013;119877;119877;LINESTRING(11.5347387892 48.1238857291,11.5347387892 48.1238857291)
10103001;123712;123712;LINESTRING(11.5674757454 48.147754971,11.5674757454 48.147754971)
11177008;144674;144674;LINESTRING(11.5539734594 48.1860910787,11.5539734594 48.1860910787)
10743005;114515;114515;LINESTRING(11.646347443 48.09599453,11.646347443 48.09599453)
10081002;59182;59182;LINESTRING(11.6253523273 48.0962388205,11.6253523273 48.0962388205)
4153021;167865;167865;LINESTRING(11.4565502443 48.1518000794,11.4565502443 48.1518000794)
10547007;82455;82455;LINESTRING(11.5357699013 48.1458109489,11.5357699013 48.1458109489)
10182009;161334;161334;LINESTRING(11.6147747359 48.1378440272,11.6147747359 48.1378440272)
10235004;105739;105739;LINESTRING(11.5726406767 48.187956611,11.5726406767 48.187956611)
10580008;2891;2891;LINESTRING(11.5578863654 48.1766579798,11.5578863654 48.1766579798)
10249012;53340;53340;LINESTRING(11.6117200264 48.1859392476,11.6117200264 48.1859392476)
10426008;129792;129792;LINESTRING(11.5686078044 48.1324750745,11.5686078044 48.1324750745)
10276001;128246;128246;LINESTRING(11.5394447414 48.1551758351,11.5394447414 48.1551758351)
4057012;109497;109497;LINESTRING(11.7141426216 48.1384047061,11.7141426216 48.1384047061)
10227005;83403;83403;LINESTRING(11.5960676933 48.107072827,11.5960676933 48.107072827)
10131008;92578;92578;LINESTRING(11.5111650117 48.1543485804,11.5111650117 48.1543485804)
10252005;130728;130728;LINESTRING(11.6192999463 48.1203533502,11.6192999463 48.1203533502)
10332003;129738;129738;LINESTRING(11.5639000217 48.204388662,11.5639000217 48.204388662)
10060008;103131;103131;LINESTRING(11.5755609698 48.1197847458,11.5755609698 48.1197847458)
10290009;139127;139127;LINESTRING(11.5932967899 48.1150059087,11.5932967899 48.1150059087)
10095010;120277;120277;LINESTRING(11.5662613683 48.1867352399,11.5662613683 48.1867352399)
10289002;58012;58012;LINESTRING(11.5622192752 48.1870999853,11.5622192752 48.1870999853)
10103002;123712;123712;LINESTRING(11.5674890852 48.1477512077,11.5674890852 48.1477512077)
10015010;69287;69287;LINESTRING(11.5992496042 48.125377802,11.5992496042 48.125377802)
10073004;158390;158390;LINESTRING(11.5656576161 48.1486532113,11.5656576161 48.1486532113)
4141011;8253;8253;LINESTRING(11.6258897187 48.1292279705,11.6258897187 48.1292279705)
10132004;77510;77510;LINESTRING(11.5964361448 48.1237117186,11.5964361448 48.1237117186)
10176007;128490;128490;LINESTRING(11.4235040191 48.142807252,11.4235040191 48.142807252)
10165016;65439;65439;LINESTRING(11.6129986444 48.1205831481,11.6129986444 48.1205831481)
11205002;4288;4288;LINESTRING(11.5450654389 48.1298933274,11.5450654389 48.1298933274)
10580009;161847;161847;LINESTRING(11.5578333017 48.1767734442,11.5578333017 48.1767734442)
10116001;76834;76834;LINESTRING(11.6445871176 48.1311035066,11.6445871176 48.1311035066)
10431001;15295;15295;LINESTRING(11.534672251 48.1200522242,11.534672251 48.1200522242)
4097012;123796;123796;LINESTRING(11.5481071991 48.1121736632,11.5481071991 48.1121736632)
10110001;20120;20120;LINESTRING(11.4910120341 48.164993716,11.4910120341 48.164993716)
10468006;40894;40894;LINESTRING(11.5311801672 48.1568119487,11.5311801672 48.1568119487)
10235005;105739;105739;LINESTRING(11.5726406151 48.187957467,11.5726406151 48.187957467)
10182010;64051;64051;LINESTRING(11.6146664526 48.1377299032,11.6146664526 48.1377299032)
10266005;135435;135435;LINESTRING(11.5805896975 48.1239741668,11.5805896975 48.1239741668)
11020001;11144;11144;LINESTRING(11.566293109 48.1748687066,11.566293109 48.1748687066)
10252004;130728;130728;LINESTRING(11.6194026333 48.1203463851,11.6194026333 48.1203463851)
10190007;12686;12686;LINESTRING(11.5739644302 48.1604621263,11.5739644302 48.1604621263)
10395001;49817;49817;LINESTRING(11.5082121828 48.183338325,11.5082121828 48.183338325)
10743006;114515;114515;LINESTRING(11.646342058 48.095985613,11.646342058 48.095985613)
10095011;120277;120277;LINESTRING(11.5662451972 48.1868364034,11.5662451972 48.1868364034)
10081003;59180;59180;LINESTRING(11.6250157824 48.0961309336,11.6250157824 48.0961309336)
11178010;58156;58156;LINESTRING(11.5978057992 48.1351959847,11.5978057992 48.1351959847)
10290010;116358;116358;LINESTRING(11.5930624346 48.1149994977,11.5930624346 48.1149994977)
10061001;71158;71158;LINESTRING(11.5646463018 48.1241175467,11.5646463018 48.1241175467)
10547008;82455;82455;LINESTRING(11.5357423164 48.1457792159,11.5357423164 48.1457792159)
4031015;110699;110699;LINESTRING(11.6163273293 48.1334324217,11.6163273293 48.1334324217)
10877003;66344;66344;LINESTRING(11.5649337797 48.1724916467,11.5649337797 48.1724916467)
10103003;122150;122150;LINESTRING(11.5682887919 48.1480328347,11.5682887919 48.1480328347)
10227004;83403;83403;LINESTRING(11.5960073635 48.107220777,11.5960073635 48.107220777)
10580010;2891;2891;LINESTRING(11.5578620191 48.1767187802,11.5578620191 48.1767187802)
