;id;opath;cpath;mgeom;lon;lat;flow
246;4173012;19328;19328;LINESTRING(11.5872892916 48.2115560852,11.5872892916 48.2115560852);11.5872892916;48.2115560852;20
247;4071011;1164;1164;LINESTRING(11.7151896576 48.1369317887,11.7151896576 48.1369317887);11.7151896576;48.1369317887;5
248;4140021;9028;9028;LINESTRING(11.572680963 48.1072960707,11.572680963 48.1072960707);11.572680963;48.1072960707;8
249;10113009;11084;11084;LINESTRING(11.5965566076 48.1501242158,11.5965566076 48.1501242158);11.5965566076;48.1501242158;5
250;4111013;30329;30329;LINESTRING(11.5493482216 48.1908111432,11.5493482216 48.1908111432);11.5493482216;48.1908111432;17
251;4107012;34109;34109;LINESTRING(11.4939770336 48.1990565299,11.4939770336 48.1990565299);11.4939770336;48.1990565299;13
252;11178007;1150;1150;LINESTRING(11.5983140872 48.1357224619,11.5983140872 48.1357224619);11.5983140872;48.1357224619;4
253;10204003;2181;2181;LINESTRING(11.5746878978 48.1326638344,11.5746878978 48.1326638344);11.5746878978;48.1326638344;7
254;11152002;22299;22299;LINESTRING(11.4685848212 48.1404006522,11.4685848212 48.1404006522);11.4685848212;48.1404006522;7
255;4013013;6509;6509;LINESTRING(11.5367151679 48.149185671,11.5367151679 48.149185671);11.5367151679;48.149185671;72
256;11122003;790;790;LINESTRING(11.4578466014 48.1951211361,11.4578466014 48.1951211361);11.4578466014;48.1951211361;1
257;10011004;11947;11947;LINESTRING(11.5838987916 48.1573604047,11.5838987916 48.1573604047);11.5838987916;48.1573604047;2
258;4036011;1539;1539;LINESTRING(11.5834378035 48.1774771013,11.5834378035 48.1774771013);11.5834378035;48.1774771013;4
259;10519004;7459;7459;LINESTRING(11.5664183964 48.184731435,11.5664183964 48.184731435);11.5664183964;48.184731435;10
260;4167022;681;681;LINESTRING(11.5347248163 48.1405267952,11.5347248163 48.1405267952);11.5347248163;48.1405267952;8
261;10743002;26940;26940;LINESTRING(11.6465959202 48.0968987783,11.6465959202 48.0968987783);11.6465959202;48.0968987783;6
262;11338008;15526;15526;LINESTRING(11.5331767173 48.2080042155,11.5331767173 48.2080042155);11.5331767173;48.2080042155;18
263;10285007;3320;3320;LINESTRING(11.6160792343 48.1545534225,11.6160792343 48.1545534225);11.6160792343;48.1545534225;19
264;10582004;10423;10423;LINESTRING(11.5641003771 48.2017649475,11.5641003771 48.2017649475);11.5641003771;48.2017649475;7
265;10039003;27988;27988;LINESTRING(11.5808057332 48.1155736111,11.5808057332 48.1155736111);11.5808057332;48.1155736111;4
266;10498003;35910;35910;LINESTRING(11.5271370782 48.1479371176,11.5271370782 48.1479371176);11.5271370782;48.1479371176;26
267;4131012;4332;4332;LINESTRING(11.6407013341 48.1058694078,11.6407013341 48.1058694078);11.6407013341;48.1058694078;11
268;4161013;28358;28358;LINESTRING(11.6152205864 48.1290475467,11.6152205864 48.1290475467);11.6152205864;48.1290475467;6
269;10011005;11947;11947;LINESTRING(11.583744649 48.1574011046,11.583744649 48.1574011046);11.583744649;48.1574011046;13
270;4048011;1575;1575;LINESTRING(11.6894206197 48.1382776165,11.6894206197 48.1382776165);11.6894206197;48.1382776165;14
271;10285008;3320;3320;LINESTRING(11.6160864287 48.154561053,11.6160864287 48.154561053);11.6160864287;48.154561053;12
272;10534007;32910;32910;LINESTRING(11.5211137995 48.0906627061,11.5211137995 48.0906627061);11.5211137995;48.0906627061;5
273;10933005;14282;14282;LINESTRING(11.4880438187 48.1795249558,11.4880438187 48.1795249558);11.4880438187;48.1795249558;14
274;4150011;1541;1541;LINESTRING(11.5948107946 48.1746505942,11.5948107946 48.1746505942);11.5948107946;48.1746505942;44
275;4103011;1553;1553;LINESTRING(11.6158157496 48.1509263784,11.6158157496 48.1509263784);11.6158157496;48.1509263784;11
276;10113010;31943;31943;LINESTRING(11.5963277528 48.1498799152,11.5963277528 48.1498799152);11.5963277528;48.1498799152;1
277;10519005;26210;26210;LINESTRING(11.5668073254 48.1845483255,11.5668073254 48.1845483255);11.5668073254;48.1845483255;22
278;10416009;28619;28619;LINESTRING(11.5728172948 48.177438794,11.5728172948 48.177438794);11.5728172948;48.177438794;35
279;11056005;4762;4762;LINESTRING(11.5644818232 48.1649543213,11.5644818232 48.1649543213);11.5644818232;48.1649543213;2
280;4013014;6509;6509;LINESTRING(11.536714374 48.1491757313,11.536714374 48.1491757313);11.536714374;48.1491757313;39
